date,location_id,city,location_type,daily_revenue,daily_profit,daily_items_sold
2022-01-01,LOC_001,New York,Mall,7749.603416168935,4889.942753373558,771
2022-01-01,LOC_002,Chicago,Street,3834.0220461722447,2396.830868742451,401
2022-01-01,LOC_003,Los Angeles,Street,3979.785611446801,2478.9656755512465,421
2022-01-01,LOC_004,New York,Standalone,2273.0473100670206,1404.2881471210724,234
2022-01-01,LOC_005,New York,Standalone,3754.66576720372,2348.1034136142107,377
2022-01-01,LOC_006,Houston,Mall,4868.579896231511,3064.3144822262716,497
2022-01-01,LOC_007,New York,Mall,6703.794873932339,4207.039941079328,672
2022-01-01,LOC_008,Los Angeles,Street,2588.0478338576645,1576.9939201577656,259
2022-01-01,LOC_009,Miami,Standalone,2959.3258492640107,1880.0756210077561,310
2022-01-01,LOC_010,New York,Standalone,2887.0891236939424,1805.33471684028,287
2022-01-01,LOC_011,Los Angeles,Standalone,1394.8529398281155,868.8363312090338,142
2022-01-01,LOC_012,Houston,Street,4267.615437666213,2659.5232355038083,441
2022-01-01,LOC_013,Houston,Standalone,1546.649499249489,965.9382736102214,153
2022-01-01,LOC_014,Chicago,Mall,4117.5634686508765,2558.471963074628,416
2022-01-01,LOC_015,Los Angeles,Airport,7047.509867974053,4408.079245510535,723
2022-01-01,LOC_016,Chicago,Food Court,15166.514006038858,9466.340357735467,1525
2022-01-01,LOC_017,Los Angeles,Street,3760.9946861003014,2351.2135352890423,389
2022-01-01,LOC_018,Chicago,Mall,7333.480532553894,4625.209705476323,748
2022-01-01,LOC_019,New York,Airport,13664.127245007126,8582.22539452339,1401
2022-01-01,LOC_020,New York,Food Court,7395.685315260748,4642.986962656532,733
2022-01-01,LOC_021,Chicago,Standalone,1513.8609542882625,950.2620440044482,138
2022-01-01,LOC_022,Chicago,Mall,6108.611359673765,3825.0138322082594,616
2022-01-01,LOC_023,Houston,Standalone,1310.0204911372862,809.4793098342974,137
2022-01-01,LOC_024,New York,Airport,23785.30927303524,14861.062328435792,2401
2022-01-01,LOC_025,New York,Standalone,3046.576578889761,1874.1863414645657,315
2022-01-01,LOC_026,Chicago,Standalone,1862.196538658452,1172.4898289407595,197
2022-01-01,LOC_027,Chicago,Standalone,2271.6209454403656,1413.4950320507069,244
2022-01-01,LOC_028,Los Angeles,Mall,7916.004839465504,4926.294871394096,816
2022-01-01,LOC_029,New York,Street,4695.842488512983,2947.110651832322,455
2022-01-01,LOC_030,Chicago,Mall,6314.530868629405,3970.005177638698,635
2022-01-01,LOC_031,Los Angeles,Mall,5141.594152605518,3177.556368605887,534
2022-01-01,LOC_032,Houston,Food Court,7057.267025666247,4463.286176790812,715
2022-01-01,LOC_033,Houston,Food Court,9906.545232177623,6156.26579803625,975
2022-01-01,LOC_034,Los Angeles,Food Court,14228.327735900828,8916.698731872824,1459
2022-01-01,LOC_035,Chicago,Street,5907.44289495304,3659.7262388785775,602
2022-01-01,LOC_036,Chicago,Mall,6706.704830367725,4176.592354152007,691
2022-01-01,LOC_037,Miami,Street,2069.9050955350767,1295.1445440184957,219
2022-01-01,LOC_038,Miami,Street,5632.520886437319,3541.456526442121,577
2022-01-01,LOC_039,Los Angeles,Airport,13363.748972847361,8314.988838837851,1360
2022-01-01,LOC_040,Houston,Food Court,12161.242889948879,7631.612177014356,1247
2022-01-01,LOC_041,Miami,Street,1954.4333339279058,1216.9038305306606,203
2022-01-01,LOC_042,Chicago,Mall,5644.172701334835,3539.97480793836,596
2022-01-01,LOC_043,Los Angeles,Mall,8414.104066574251,5251.44953106072,846
2022-01-01,LOC_044,Chicago,Airport,17160.240794363115,10745.023911072562,1742
2022-01-01,LOC_045,Chicago,Mall,9005.59360467758,5611.107283024563,894
2022-01-01,LOC_046,Los Angeles,Standalone,1515.1811095558514,957.5511430964657,146
2022-01-01,LOC_047,Chicago,Street,5582.97158525195,3457.5692886914153,564
2022-01-01,LOC_048,Houston,Airport,24165.076277507105,15091.923288599866,2448
2022-01-01,LOC_049,Houston,Street,2617.767384069757,1641.4924394471618,267
2022-01-01,LOC_050,Chicago,Street,6446.319252701289,4048.663109252037,641
2022-01-02,LOC_001,New York,Mall,8403.9438807191,5309.162858399922,857
2022-01-02,LOC_002,Chicago,Street,6120.395704535287,3838.992158764732,628
2022-01-02,LOC_003,Los Angeles,Street,2831.9402925517384,1754.756281540077,279
2022-01-02,LOC_004,New York,Standalone,2575.9352213148186,1627.8207935495655,251
2022-01-02,LOC_005,New York,Standalone,3427.1512275830682,2155.2744225871415,364
2022-01-02,LOC_006,Houston,Mall,4237.646402651508,2644.293403371924,413
2022-01-02,LOC_007,New York,Mall,6350.243155693226,4006.433964233325,651
2022-01-02,LOC_008,Los Angeles,Street,3034.1870980310396,1901.4961124563044,315
2022-01-02,LOC_009,Miami,Standalone,2175.8294726992895,1359.4855813542065,226
2022-01-02,LOC_010,New York,Standalone,1986.6275033993886,1244.8704504754373,199
2022-01-02,LOC_011,Los Angeles,Standalone,2159.43648948713,1341.2484288088615,213
2022-01-02,LOC_012,Houston,Street,3156.73105216664,1998.3149746735999,326
2022-01-02,LOC_013,Houston,Standalone,2444.917713625461,1527.5637856295095,249
2022-01-02,LOC_014,Chicago,Mall,5979.165910166769,3728.0344240941236,604
2022-01-02,LOC_015,Los Angeles,Airport,7966.175763004767,4963.834758850991,801
2022-01-02,LOC_016,Chicago,Food Court,16212.818828220474,10162.49113939758,1629
2022-01-02,LOC_017,Los Angeles,Street,5207.568572711515,3267.6230756649047,554
2022-01-02,LOC_018,Chicago,Mall,5706.273768465962,3598.2042170770405,567
2022-01-02,LOC_019,New York,Airport,13925.638437800155,8721.650227054322,1413
2022-01-02,LOC_020,New York,Food Court,8277.541254731364,5216.418475169133,849
2022-01-02,LOC_021,Chicago,Standalone,1684.6032992240046,1052.3758309081193,176
2022-01-02,LOC_022,Chicago,Mall,7745.0828699824415,4870.676234997125,806
2022-01-02,LOC_023,Houston,Standalone,1324.586454036537,828.8587205699037,143
2022-01-02,LOC_024,New York,Airport,24051.343565617222,15052.75052708885,2452
2022-01-02,LOC_025,New York,Standalone,2855.529373471655,1774.1331607422353,309
2022-01-02,LOC_026,Chicago,Standalone,2950.8114206743335,1866.836926839751,308
2022-01-02,LOC_027,Chicago,Standalone,2534.5184235402003,1559.9912723013003,264
2022-01-02,LOC_028,Los Angeles,Mall,6515.4256868260745,4105.444475429904,670
2022-01-02,LOC_029,New York,Street,4942.692777212031,3076.42910003721,519
2022-01-02,LOC_030,Chicago,Mall,4534.377867775352,2828.0396646382796,461
2022-01-02,LOC_031,Los Angeles,Mall,5325.463390208215,3297.5306950044064,559
2022-01-02,LOC_032,Houston,Food Court,8101.154888357674,5096.315955087259,822
2022-01-02,LOC_033,Houston,Food Court,8649.57196877262,5432.08180121652,892
2022-01-02,LOC_034,Los Angeles,Food Court,13590.359026007607,8568.165413382618,1398
2022-01-02,LOC_035,Chicago,Street,5223.0625006922555,3236.700279951912,519
2022-01-02,LOC_036,Chicago,Mall,9133.4446826026,5698.706233482767,909
2022-01-02,LOC_037,Miami,Street,1734.7379082013936,1087.0866864519303,180
2022-01-02,LOC_038,Miami,Street,7996.799068512135,4995.287658952041,815
2022-01-02,LOC_039,Los Angeles,Airport,18214.741458894034,11469.104484809395,1838
2022-01-02,LOC_040,Houston,Food Court,9956.442380629313,6214.469180391527,1031
2022-01-02,LOC_041,Miami,Street,2399.323233119993,1519.4568232724052,242
2022-01-02,LOC_042,Chicago,Mall,6762.100165427763,4236.870316964432,685
2022-01-02,LOC_043,Los Angeles,Mall,5922.881423066666,3709.328070455915,589
2022-01-02,LOC_044,Chicago,Airport,10693.012174167401,6669.676115673411,1086
2022-01-02,LOC_045,Chicago,Mall,10165.572157626688,6338.116500273527,1063
2022-01-02,LOC_046,Los Angeles,Standalone,1027.9392208556842,633.5996339084049,110
2022-01-02,LOC_047,Chicago,Street,4231.881078275435,2607.691075059131,427
2022-01-02,LOC_048,Houston,Airport,15089.525381240941,9471.304508682888,1515
2022-01-02,LOC_049,Houston,Street,2701.865722592898,1674.954833681404,274
2022-01-02,LOC_050,Chicago,Street,4546.130032057522,2859.8517595496965,460
2022-01-03,LOC_001,New York,Mall,6155.00034992344,3842.1621129695736,620
2022-01-03,LOC_002,Chicago,Street,4462.012017693603,2792.768894688299,436
2022-01-03,LOC_003,Los Angeles,Street,2249.1044564695458,1418.5949468624087,237
2022-01-03,LOC_004,New York,Standalone,1866.6148412362154,1180.7561715036568,183
2022-01-03,LOC_005,New York,Standalone,1700.3570817384868,1060.892321613836,178
2022-01-03,LOC_006,Houston,Mall,3311.9057548849214,2072.4797111711514,329
2022-01-03,LOC_007,New York,Mall,2844.30429380965,1761.067058448585,294
2022-01-03,LOC_008,Los Angeles,Street,1221.2791333229422,768.6035996082228,136
2022-01-03,LOC_009,Miami,Standalone,1416.337428098995,896.0757538228207,149
2022-01-03,LOC_010,New York,Standalone,2079.5398275908456,1327.385935050275,221
2022-01-03,LOC_011,Los Angeles,Standalone,1342.920989400242,836.1978244523004,130
2022-01-03,LOC_012,Houston,Street,1921.104617857182,1204.40705322707,196
2022-01-03,LOC_013,Houston,Standalone,1327.1526695219593,841.4280265242382,133
2022-01-03,LOC_014,Chicago,Mall,3274.538949017693,2044.6690078526517,329
2022-01-03,LOC_015,Los Angeles,Airport,4907.4168020678635,3086.684739475064,511
2022-01-03,LOC_016,Chicago,Food Court,7144.316798334717,4451.623906027052,750
2022-01-03,LOC_017,Los Angeles,Street,4076.6074828368914,2559.5358904541085,412
2022-01-03,LOC_018,Chicago,Mall,5936.8805283561205,3678.0232017817007,591
2022-01-03,LOC_019,New York,Airport,8281.495306609619,5140.478890631882,841
2022-01-03,LOC_020,New York,Food Court,7662.633427913788,4745.769595667448,774
2022-01-03,LOC_021,Chicago,Standalone,829.445076254559,527.1422657851924,85
2022-01-03,LOC_022,Chicago,Mall,6510.940083429413,4089.342393085227,636
2022-01-03,LOC_023,Houston,Standalone,1006.7090597076987,629.3754464118047,109
2022-01-03,LOC_024,New York,Airport,16232.364123030313,10211.272579680475,1677
2022-01-03,LOC_025,New York,Standalone,1970.1661133064667,1241.3594388936456,199
2022-01-03,LOC_026,Chicago,Standalone,1703.6113226508487,1082.4654516964472,172
2022-01-03,LOC_027,Chicago,Standalone,1791.5360196298798,1123.215559391607,180
2022-01-03,LOC_028,Los Angeles,Mall,5809.980772742687,3653.8795072271205,585
2022-01-03,LOC_029,New York,Street,3647.713835185783,2278.9880014307787,356
2022-01-03,LOC_030,Chicago,Mall,4988.7003998805,3123.76657708351,505
2022-01-03,LOC_031,Los Angeles,Mall,4299.480654128278,2738.6535413272964,446
2022-01-03,LOC_032,Houston,Food Court,4597.094882887203,2852.6870224367385,479
2022-01-03,LOC_033,Houston,Food Court,4952.315843630641,3087.7369427033304,503
2022-01-03,LOC_034,Los Angeles,Food Court,9875.561388802675,6191.764457105157,982
2022-01-03,LOC_035,Chicago,Street,4307.26392995897,2733.410627700101,451
2022-01-03,LOC_036,Chicago,Mall,7848.903395705335,4913.385566514612,790
2022-01-03,LOC_037,Miami,Street,1765.262995982664,1107.5284290102786,174
2022-01-03,LOC_038,Miami,Street,4517.472944313369,2799.520078267809,473
2022-01-03,LOC_039,Los Angeles,Airport,12270.92222728478,7624.638439342453,1221
2022-01-03,LOC_040,Houston,Food Court,8281.567585558358,5174.315336277781,826
2022-01-03,LOC_041,Miami,Street,1399.4796094550852,875.6990863954596,156
2022-01-03,LOC_042,Chicago,Mall,3621.6622415000816,2306.8441073681533,370
2022-01-03,LOC_043,Los Angeles,Mall,4735.700392366469,3001.601804741401,491
2022-01-03,LOC_044,Chicago,Airport,12450.461170557097,7874.596061230801,1252
2022-01-03,LOC_045,Chicago,Mall,5036.937812613968,3214.202078406068,504
2022-01-03,LOC_046,Los Angeles,Standalone,875.1626799639249,553.0921099239462,81
2022-01-03,LOC_047,Chicago,Street,4158.9088090352225,2604.6383873899513,421
2022-01-03,LOC_048,Houston,Airport,12811.359483595092,8010.828017711831,1324
2022-01-03,LOC_049,Houston,Street,1974.9924742908966,1236.9732080645354,198
2022-01-03,LOC_050,Chicago,Street,4005.2436473309676,2521.097807917447,424
2022-01-04,LOC_001,New York,Mall,4162.4630850642325,2629.32311980021,441
2022-01-04,LOC_002,Chicago,Street,3641.7178950689095,2265.6800662794844,356
2022-01-04,LOC_003,Los Angeles,Street,2009.8243160506026,1243.0687322777114,206
2022-01-04,LOC_004,New York,Standalone,2010.3469868129812,1287.7589238993423,195
2022-01-04,LOC_005,New York,Standalone,3118.570870956178,1966.5836374056103,303
2022-01-04,LOC_006,Houston,Mall,4509.745912841905,2804.9326790833493,450
2022-01-04,LOC_007,New York,Mall,3689.139884632342,2327.5115265050804,388
2022-01-04,LOC_008,Los Angeles,Street,1430.7518547874706,885.9684549142002,135
2022-01-04,LOC_009,Miami,Standalone,1367.562121781071,865.28811931368,142
2022-01-04,LOC_010,New York,Standalone,1214.919086994362,767.2876559088093,122
2022-01-04,LOC_011,Los Angeles,Standalone,1429.9739695755547,871.3963885990737,150
2022-01-04,LOC_012,Houston,Street,3107.6764620768454,1965.0663777506554,309
2022-01-04,LOC_013,Houston,Standalone,1455.5016246863565,915.3314390427565,161
2022-01-04,LOC_014,Chicago,Mall,5173.869027209359,3191.89268118325,528
2022-01-04,LOC_015,Los Angeles,Airport,6872.445497365306,4292.8918778694415,685
2022-01-04,LOC_016,Chicago,Food Court,10792.883709759082,6781.31675989066,1116
2022-01-04,LOC_017,Los Angeles,Street,4189.343182812696,2625.931213623917,426
