year,month,location_id,city,location_type,monthly_revenue,monthly_profit,monthly_items_sold,monthly_rent,net_profit
2022,1,LOC_001,New York,Mall,187538.95376400868,117568.9867955113,19097,8126,109442.9867955113
2022,1,LOC_002,Chicago,Street,125154.6358261104,78379.62019439398,12679,6095,72284.62019439398
2022,1,LOC_003,Los Angeles,Street,86282.91400288549,53949.66852871498,8798,5466,48483.66852871498
2022,1,LOC_004,New York,Standalone,57469.11034541543,35905.6965289266,5780,4871,31034.6965289266
2022,1,LOC_005,New York,Standalone,79714.28334194163,49941.51682798836,8136,4343,45598.51682798836
2022,1,LOC_006,Houston,Mall,128371.33870336956,80620.15993083233,13104,8215,72405.15993083233
2022,1,LOC_007,New York,Mall,139946.06195359238,87728.31724501635,14304,7459,80269.31724501635
2022,1,LOC_008,Los Angeles,Street,59677.8855493092,37097.924407237784,6062,5747,31350.924407237784
2022,1,LOC_009,Miami,Standalone,59152.70105171447,37113.82087966151,6007,5082,32031.820879661507
2022,1,LOC_010,New York,Standalone,64156.908334743566,40325.73018381677,6492,5806,34519.73018381677
2022,1,LOC_011,Los Angeles,Standalone,45402.490259995,28416.84149952713,4581,4562,23854.84149952713
2022,1,LOC_012,Houston,Street,96102.72755163761,60254.06638892834,9851,6528,53726.06638892834
2022,1,LOC_013,Houston,Standalone,52780.24590917452,32948.11630264634,5342,4020,28928.11630264634
2022,1,LOC_014,Chicago,Mall,131218.99572987828,81907.0744837061,13399,7600,74307.0744837061
2022,1,LOC_015,Los Angeles,Airport,255422.79640628706,159684.21470149988,25970,11776,147908.21470149988
2022,1,LOC_016,Chicago,Food Court,325080.4880210371,203508.766184254,33047,4363,199145.766184254
2022,1,LOC_017,Los Angeles,Street,121546.62740375484,76009.44806691876,12407,5205,70804.44806691876
2022,1,LOC_018,Chicago,Mall,167565.67818705525,104798.39127394394,17067,8021,96777.39127394394
2022,1,LOC_019,New York,Airport,349935.5184698491,219160.06341897903,35687,12795,206365.06341897903
2022,1,LOC_020,New York,Food Court,226152.56682918879,141507.44781484455,23095,3729,137778.44781484455
2022,1,LOC_021,Chicago,Standalone,36572.471495470614,22888.788367549176,3690,5981,16907.788367549176
2022,1,LOC_022,Chicago,Mall,190954.18691802354,119514.46605283015,19401,8294,111220.46605283015
2022,1,LOC_023,Houston,Standalone,44200.70939948223,27567.21500579258,4492,5725,21842.21500579258
2022,1,LOC_024,New York,Airport,469577.87425011396,293907.71921025706,47955,12772,281135.71921025706
2022,1,LOC_025,New York,Standalone,88904.28411888899,55602.40097040589,9117,5945,49657.40097040589
2022,1,LOC_026,Chicago,Standalone,56727.84947996757,35508.8863724528,5833,4014,31494.8863724528
2022,1,LOC_027,Chicago,Standalone,69538.26679426493,43429.29630858183,7163,5367,38062.29630858183
2022,1,LOC_028,Los Angeles,Mall,197347.05550972393,123549.3291288758,20122,8162,115387.3291288758
